Sex,Job,Age,Salary,Experience,Education,Direction,Awards,smoker,year_of_employment,company
Male,Driver,63,128520,4,PhD,Management,6151,0,2022,IBM
Male,IT,50,101050,3,Masters,Management,3879,1,2023,PwC
Male,Software Engineer,45,81515,1,High School,Management,5001,0,2019,BCG
Male,Software Engineer,60,155676,5,Masters,Sales,6586,1,2020,McKinsey
Male,Driver,31,62753,4,High School,Administration,5735,0,2019,BCG
Female,IT,58,124847,4,High School,Sales,3100,0,2020,EY
Male,Software Engineer,32,128680,5,College,Engineering,4677,0,2023,IBM
Female,Graphic Designer,26,100516,5,Masters,Administration,6737,0,2020,Bain
Male,IT,33,106584,5,Masters,Engineering,5426,0,2020,Capgemini
Male,Driver,25,92687,5,PhD,Engineering,7634,0,2022,Capgemini
Male,Manager,20,112854,4,PhD,Operations,6564,0,2021,EY
Male,Financial Analyst,20,78564,3,PhD,Operations,7875,0,2021,IBM
Male,Manager,58,179726,4,PhD,Management,4284,0,2020,PwC
Male,Marketing Associate,25,65547,4,College,Operations,6530,0,2020,BCG
Female,Data Scientist,37,97846,5,College,Sales,7198,0,2023,Google
Male,IT,19,78986,4,College,Administration,9023,1,2020,Microsoft
Male,Financial Analyst,40,88725,3,PhD,Sales,6243,0,2019,IBM
Female,Marketing Associate,24,49303,3,High School,Engineering,6615,0,2023,EY
Male,IT,20,74073,2,PhD,Engineering,8509,1,2019,IBM
Male,Driver,49,72754,2,Masters,Operations,8014,1,2021,PwC
Male,Data Scientist,53,102910,2,High School,Management,8335,1,2022,BCG
Female,Driver,65,124530,3,PhD,Operations,3647,0,2023,BCG
Male,Sales Associate,58,129425,2,PhD,Sales,7524,1,2020,PwC
Female,Graphic Designer,40,55845,1,College,Operations,6616,0,2021,Google
Male,Financial Analyst,24,67749,1,Masters,Administration,8517,0,2021,Google
Male,Data Scientist,41,67040,1,PhD,Administration,7412,1,2019,IBM
Female,Warehouse Associate,57,93470,3,High School,Engineering,8578,0,2021,Google
Female,Data Scientist,33,89415,2,Masters,Sales,9654,0,2019,Google
Female,Graphic Designer,49,120697,4,PhD,Engineering,7205,0,2022,PwC
Male,Graphic Designer,23,50601,1,High School,Operations,7351,0,2020,Amazon
Male,Sales Associate,19,94492,4,PhD,Management,8209,0,2021,EY
Male,Software Engineer,39,106896,4,High School,Sales,7918,0,2020,Amazon
Male,Software Engineer,31,106503,4,College,Operations,5225,1,2023,EY
Female,Marketing Associate,36,82755,3,PhD,Sales,7325,0,2021,Accenture
Male,Software Engineer,23,79462,2,PhD,Management,4673,0,2020,Google
Male,Manager,30,138163,5,High School,Sales,3415,0,2022,Bain
Male,IT,64,92950,1,Masters,Sales,2125,1,2020,Capgemini
Male,Sales Associate,26,78625,2,High School,Sales,4073,0,2021,Accenture
Male,Software Engineer,18,88482,2,Masters,Engineering,7385,0,2022,Amazon
Male,Data Scientist,37,78836,2,PhD,Administration,3588,0,2019,McKinsey
Male,Graphic Designer,30,70559,4,Masters,Management,6497,0,2021,Capgemini
Male,Marketing Associate,51,62600,1,PhD,Sales,4300,1,2022,PwC
Female,Software Engineer,57,104623,1,High School,Engineering,3791,0,2019,Google
Male,Software Engineer,25,103181,4,High School,Engineering,4566,1,2019,Deloitte
Male,Data Scientist,23,62753,1,Masters,Administration,7242,1,2021,Amazon
Male,Software Engineer,21,65313,2,High School,Engineering,4685,0,2023,EY
Male,Software Engineer,30,113122,5,Masters,Engineering,6060,0,2019,Bain
Female,Financial Analyst,43,116069,5,College,Sales,6432,0,2022,McKinsey
Female,Driver,31,62692,2,High School,Engineering,8886,1,2021,Amazon
Female,Data Scientist,55,123172,4,Masters,Administration,5797,0,2023,McKinsey
Female,Marketing Associate,45,74305,3,Masters,Sales,7126,0,2020,IBM
Male,Sales Associate,61,102473,1,PhD,Management,8468,0,2023,McKinsey
Female,Warehouse Associate,47,94973,2,College,Administration,7885,0,2021,IBM
Female,Data Scientist,31,55954,2,High School,Operations,7999,0,2021,Amazon
Male,Driver,59,120159,3,College,Operations,4265,0,2019,Capgemini
Male,Sales Associate,63,128173,4,PhD,Operations,8360,0,2022,PwC
Female,Financial Analyst,27,87608,4,High School,Administration,7511,0,2023,IBM
Male,Software Engineer,58,120156,3,High School,Management,7200,0,2022,Capgemini
Female,Marketing Associate,30,38451,1,Masters,Administration,5562,0,2023,EY
Female,Graphic Designer,57,133741,5,Masters,Sales,4925,0,2020,BCG
Female,Driver,54,87998,2,College,Management,7028,0,2020,Capgemini
Male,Sales Associate,56,88195,1,High School,Management,2375,0,2020,BCG
Male,Graphic Designer,29,70311,2,PhD,Operations,6235,1,2020,EY
Female,Marketing Associate,44,91300,3,High School,Engineering,3680,0,2023,Accenture
Male,Manager,37,115604,3,PhD,Administration,4098,0,2020,McKinsey
Male,Driver,30,78472,1,Masters,Operations,8439,0,2022,EY
Male,Software Engineer,36,94745,2,Masters,Administration,5930,0,2019,IBM
Male,Software Engineer,36,112134,3,PhD,Management,8587,1,2019,IBM
Male,Manager,57,135073,3,Masters,Operations,6898,0,2020,PwC
Male,Financial Analyst,53,112941,3,Masters,Administration,7404,0,2023,Deloitte
Female,Manager,42,119893,2,High School,Management,3721,0,2022,BCG
Male,Driver,35,92760,5,High School,Administration,4826,0,2019,EY
Female,Financial Analyst,46,116758,4,College,Administration,7744,0,2022,EY
Female,Financial Analyst,33,50758,1,PhD,Administration,5386,0,2021,Amazon
Male,Sales Associate,50,124470,5,Masters,Engineering,5454,0,2021,Capgemini
Female,Warehouse Associate,51,106478,3,High School,Sales,8744,0,2019,IBM
Female,Graphic Designer,49,96232,4,High School,Administration,3697,0,2020,Microsoft
Female,Marketing Associate,26,57672,3,High School,Operations,6476,0,2019,Bain
Male,Data Scientist,27,57915,1,College,Engineering,4584,0,2019,Google
Female,Graphic Designer,44,90474,3,College,Sales,3530,1,2022,EY
Female,Data Scientist,58,141005,5,High School,Sales,3384,0,2019,Microsoft
Male,IT,52,90024,1,Masters,Engineering,7350,0,2023,Deloitte
Female,Sales Associate,47,105410,4,College,Administration,6363,0,2023,BCG
Female,Driver,37,65012,2,Masters,Administration,8357,0,2020,McKinsey
Female,Marketing Associate,62,77742,2,Masters,Engineering,5430,0,2020,Bain
Male,Financial Analyst,39,61609,1,College,Sales,3738,0,2021,Amazon
Female,Software Engineer,22,88037,3,Masters,Operations,8949,0,2023,Capgemini
Male,IT,51,89272,3,High School,Engineering,2600,0,2020,Accenture
Female,Driver,61,114436,4,College,Administration,4249,0,2023,Amazon
Female,IT,42,70157,2,High School,Engineering,6016,0,2023,Microsoft
Female,Warehouse Associate,42,125574,5,PhD,Operations,5688,0,2021,Accenture
Male,Manager,38,135106,3,Masters,Management,5066,0,2020,Capgemini
Male,Financial Analyst,60,123108,2,PhD,Sales,2244,1,2023,BCG
Female,Marketing Associate,44,57469,1,High School,Sales,7539,0,2021,IBM
Male,Manager,41,119794,2,Masters,Sales,3712,0,2021,Microsoft
Female,Financial Analyst,20,76908,2,College,Management,4756,0,2020,Accenture
Male,Software Engineer,60,145632,5,PhD,Management,6439,1,2021,Bain
Female,Financial Analyst,30,109369,5,High School,Engineering,10052,1,2019,Microsoft
Female,Marketing Associate,33,81249,5,High School,Management,4845,0,2020,Microsoft
Male,Data Scientist,41,117215,5,High School,Management,4322,1,2020,EY
Male,Graphic Designer,22,57398,2,Masters,Sales,7827,0,2020,PwC
Female,Marketing Associate,22,36548,1,PhD,Operations,8090,0,2020,McKinsey
Male,Marketing Associate,27,54817,1,College,Management,6519,0,2022,PwC
Female,IT,46,102247,3,PhD,Sales,8307,0,2022,Microsoft
Female,Marketing Associate,41,108587,5,PhD,Management,4275,0,2023,Bain
Female,Warehouse Associate,24,64624,1,High School,Management,8253,0,2023,BCG
Male,Software Engineer,62,124660,3,High School,Sales,2200,0,2020,Accenture
Female,Driver,35,72038,1,College,Management,9031,0,2023,Capgemini
Female,Marketing Associate,18,34208,2,High School,Engineering,6620,0,2019,Capgemini
Male,Data Scientist,38,101173,5,College,Administration,9255,0,2019,Accenture
Female,Marketing Associate,56,88820,3,High School,Engineering,4289,0,2023,Deloitte
Female,Marketing Associate,38,76726,2,PhD,Engineering,4204,0,2019,Bain
Male,Warehouse Associate,46,87134,4,High School,Operations,6184,1,2020,IBM
Female,Marketing Associate,27,44325,1,High School,Management,8867,0,2021,Accenture
Female,Sales Associate,63,127561,3,PhD,Engineering,7552,0,2019,Accenture
Male,Manager,62,157410,5,College,Administration,7840,0,2023,PwC
Female,Marketing Associate,49,96500,2,High School,Sales,8092,0,2023,Capgemini
Female,Graphic Designer,63,127608,5,College,Management,6558,0,2020,Capgemini
Male,Financial Analyst,47,68643,1,High School,Management,4674,0,2022,BCG
Male,Graphic Designer,23,83031,3,Masters,Management,10240,1,2023,Accenture
Male,Financial Analyst,29,84725,2,Masters,Operations,3274,1,2021,EY
Male,Sales Associate,55,112188,3,College,Administration,6689,0,2020,Bain
Male,Warehouse Associate,49,94927,4,PhD,Operations,6274,1,2021,Accenture
Female,Driver,63,115981,4,Masters,Management,2661,0,2023,Microsoft
Female,Software Engineer,41,86675,1,PhD,Sales,7947,1,2021,PwC
Female,Marketing Associate,50,81995,1,PhD,Administration,7840,0,2021,Bain
Male,Graphic Designer,62,85702,1,Masters,Sales,6556,0,2020,Capgemini
Male,Driver,55,95898,3,Masters,Operations,4309,0,2023,EY
Male,Marketing Associate,33,53220,2,PhD,Administration,5153,0,2020,Deloitte
Male,Driver,32,90368,4,PhD,Engineering,8215,0,2021,PwC
Female,Driver,18,71824,4,Masters,Sales,6397,0,2021,BCG
Female,Driver,61,108475,4,College,Management,4489,0,2022,BCG
Female,IT,65,121210,4,Masters,Administration,7949,0,2021,McKinsey
Male,Data Scientist,28,68049,2,High School,Management,6660,1,2019,Deloitte
Female,Sales Associate,40,92276,5,Masters,Operations,9551,0,2021,BCG
Female,Financial Analyst,48,129406,5,Masters,Management,7280,0,2022,Capgemini
Male,Manager,33,90482,1,Masters,Sales,7094,0,2021,McKinsey
Male,Manager,28,105795,2,College,Sales,6179,1,2020,Capgemini
Male,Software Engineer,36,87848,4,High School,Administration,5166,0,2020,Microsoft
Female,Warehouse Associate,61,120277,3,Masters,Management,4617,0,2023,EY
Male,Data Scientist,38,80937,2,High School,Sales,8335,0,2022,IBM
Male,Sales Associate,40,84592,3,High School,Administration,4635,1,2020,Amazon
Male,Sales Associate,51,96023,1,High School,Engineering,4148,0,2019,Microsoft
Female,Marketing Associate,26,80306,4,PhD,Operations,9233,0,2020,Bain
Female,Manager,45,149893,5,High School,Engineering,5120,1,2022,Capgemini
Male,Sales Associate,48,113544,5,Masters,Engineering,6839,0,2021,Bain
Male,Software Engineer,37,81547,1,High School,Sales,3510,1,2019,McKinsey
Male,Driver,65,116803,5,High School,Operations,3431,1,2022,BCG
Female,Marketing Associate,23,46263,3,PhD,Administration,9432,0,2022,Microsoft
Male,Warehouse Associate,49,109419,4,High School,Sales,8375,0,2023,Capgemini
Female,IT,38,112392,5,College,Administration,10504,0,2020,IBM
Female,IT,27,55560,2,Masters,Administration,4449,0,2023,IBM
Female,IT,29,72542,3,Masters,Management,8109,0,2021,Deloitte
Female,Financial Analyst,61,139042,4,Masters,Engineering,2982,0,2021,PwC
Female,Data Scientist,48,79765,3,College,Administration,5329,0,2019,EY
Female,Sales Associate,52,84132,2,Masters,Engineering,7204,1,2019,Bain
Male,Data Scientist,26,90526,3,Masters,Operations,4191,0,2023,Amazon
Female,Data Scientist,55,138365,5,Masters,Sales,5359,0,2021,Deloitte
Male,Software Engineer,40,98281,2,High School,Management,5646,1,2023,Capgemini
Female,Manager,60,160614,3,PhD,Management,8354,1,2019,EY
Female,Marketing Associate,60,114906,4,College,Management,4766,0,2019,Accenture
Female,Driver,21,77032,4,Masters,Sales,8725,0,2023,Microsoft
Female,Software Engineer,57,117131,3,College,Engineering,2324,0,2019,BCG
Female,Graphic Designer,22,107025,4,Masters,Operations,6577,0,2022,PwC
Female,Data Scientist,20,40056,1,High School,Engineering,7632,0,2021,Capgemini
Male,Software Engineer,40,68295,1,College,Management,7902,0,2021,Microsoft
Female,Sales Associate,41,60983,1,College,Sales,5022,0,2021,PwC
Male,Sales Associate,57,113031,5,PhD,Administration,3409,0,2023,BCG
Male,Software Engineer,36,109136,5,High School,Operations,4572,0,2020,PwC
Male,Software Engineer,63,140445,5,High School,Administration,7905,0,2022,Google
Female,Data Scientist,63,115641,5,High School,Administration,4339,0,2019,Google
Female,Financial Analyst,21,91978,4,Masters,Operations,8647,0,2023,IBM
Male,Graphic Designer,24,102261,5,PhD,Engineering,10212,0,2020,McKinsey
Female,Marketing Associate,65,106315,5,Masters,Administration,5618,0,2023,Accenture
Female,Data Scientist,57,87150,1,High School,Management,6814,0,2023,Microsoft
Male,Data Scientist,62,108778,3,PhD,Sales,4357,1,2019,Accenture
Male,IT,59,79544,1,PhD,Operations,6760,0,2023,IBM
Male,Software Engineer,45,89811,2,Masters,Operations,6471,1,2019,PwC
Male,Data Scientist,59,96582,1,Masters,Sales,6350,0,2023,Deloitte
Male,Software Engineer,20,66359,2,Masters,Management,10137,1,2019,IBM
Female,Data Scientist,33,78910,4,High School,Operations,5927,0,2020,Accenture
Male,Software Engineer,51,132323,3,Masters,Engineering,4872,0,2021,McKinsey
Female,Marketing Associate,27,73357,3,PhD,Management,10334,0,2020,Accenture
Male,Software Engineer,29,92099,2,Masters,Operations,7246,0,2020,McKinsey
Female,Sales Associate,61,96900,1,College,Sales,4157,0,2021,Amazon
Male,Financial Analyst,59,90002,1,PhD,Management,8123,0,2022,EY
Male,Warehouse Associate,64,116774,3,High School,Operations,6160,1,2020,Google
Male,Manager,43,121949,2,PhD,Management,6739,0,2021,Microsoft
Female,Marketing Associate,31,52578,3,High School,Sales,5538,0,2022,Accenture
Male,Financial Analyst,45,98535,2,Masters,Management,8001,0,2020,Microsoft
Male,Software Engineer,63,124871,2,College,Operations,7327,1,2020,EY
